card_id,title,type,year_file,hero_url,hero_exists,hero_size,hero_is_ai,legacy_image_url,legacy_image_exists,gallery_count,gallery_missing,gallery_urls,has_related_content
person_1922_03,안창호 — 국민대표회의 준비,person,1922.js,assets/images/entity/person/person_안창호_01.webp,True,125422,true,,,0,0,,False
righteous_1923_01,김상옥 — 종로경찰서 의거,righteous,1923.js,assets/images/entity/event/event_righteous_1923_01_01.webp,True,43024,false,,,1,0,assets/images/entity/person/person_김상옥_01.webp,False
political_1923_01,조선혁명선언 발표,political,1923.js,assets/images/entity/event/event_political_1923_01_01.webp,True,162652,false,,,0,0,,False
massacre_1923_01,관동대지진 조선인 학살,massacre,1923.js,assets/images/entity/event/event_massacre_1923_01_01.webp,True,356158,false,,,0,0,,False
person_1923_01,신채호 — 베이징에서 역사연구로,person,1923.js,assets/images/entity/person/person_신채호_01.webp,True,21166,false,,,0,0,,False
person_1923_02,안창호 — 분열을 끌어안다,person,1923.js,assets/images/entity/person/person_안창호_01.webp,True,125422,true,,,0,0,,False
righteous_1924_01,김지섭 — 도쿄 이중교 의거,righteous,1924.js,assets/images/entity/event/event_righteous_1924_01_01.webp,True,36104,false,,,0,0,,False
political_1924_01,임시정부 침체와 이승만 탄핵 움직임,political,1924.js,assets/images/entity/event/event_political_1924_01_01.webp,True,14592,false,,,0,0,,False
person_1924_01,김원봉 — 노선 전환의 고민,person,1924.js,assets/images/entity/person/person_김원봉_01.webp,True,116054,true,,,0,0,,False
person_1924_02,박은식 — 임정을 떠받치다,person,1924.js,assets/images/entity/person/person_박은식_01.webp,True,82920,true,,,0,0,,False
political_1925_02,이승만 탄핵과 박은식 대통령 취임,political,1925.js,assets/images/entity/event/event_political_1925_02_01.webp,True,14592,false,,,0,0,,False
person_1925_01,권기옥 — 한국 최초의 여성 비행사,person,1925.js,assets/images/entity/person/person_권기옥_01.webp,True,155978,true,,,0,0,,False
person_1925_02,김좌진 — 북만주에서 다시 서다,person,1925.js,assets/images/entity/person/person_김좌진_01.webp,True,77524,true,,,0,0,,False
political_1926_01,순종 승하 — 대한제국 황실의 종말,political,1926.js,assets/images/entity/event/event_political_1926_01_01.webp,True,499938,false,,,0,0,,False
movement_1926_01,6·10 만세운동,movement,1926.js,assets/images/entity/event/event_movement_1926_01_01.webp,True,104874,false,,,0,0,,False
righteous_1926_01,나석주 — 동양척식회사 의거,righteous,1926.js,assets/images/entity/event/event_righteous_1926_01_01.webp,True,133140,true,,,1,0,assets/images/entity/person/person_나석주_01.webp,False
policy_1926_01,조선총독부 신청사 준공,policy,1926.js,assets/images/entity/event/event_policy_1926_01_01.webp,True,59816,false,,,0,0,,False
person_1926_02,김구 — 임시정부 국무령에 오르다,person,1926.js,assets/images/entity/person/person_김구_01.webp,True,89680,true,,,0,0,,False
